Printout for SDDS file one.twi

       s            betay          alphay          etay          etayp     
       m              m                             m                      
---------------------------------------------------------------------------
  7.525000e+00   5.131575e+01   3.370495e+01   0.000000e+00   0.000000e+00 
  7.975000e+00   2.546817e+01   2.373412e+01   0.000000e+00   0.000000e+00 
  7.975000e+00   2.546817e+01   2.373412e+01   0.000000e+00   0.000000e+00 
  8.175000e+00   1.686082e+01   1.930264e+01   0.000000e+00   0.000000e+00 
  8.175000e+00   1.686082e+01   1.930264e+01   0.000000e+00   0.000000e+00 
  8.175000e+00   1.686082e+01   1.930264e+01   0.000000e+00   0.000000e+00 
  8.175000e+00   1.686082e+01   1.930264e+01   0.000000e+00   0.000000e+00 
  8.325000e+00   1.354972e+01   3.812050e+00   0.000000e+00   0.000000e+00 
  9.500000e+00   6.173978e+00   2.465175e+00   0.000000e+00   0.000000e+00 
  1.035000e+01   2.811366e+00   1.490840e+00   0.000000e+00   0.000000e+00 
  1.070000e+01   1.522222e+00   1.453092e+00   0.000000e+00   0.000000e+00 
  1.172500e+01   6.908985e-01  -6.420440e-01   0.000000e+00   0.000000e+00 
  1.172500e+01   6.908985e-01  -6.420440e-01   0.000000e+00   0.000000e+00 
  1.172500e+01   6.908985e-01  -6.420440e-01   0.000000e+00   0.000000e+00 
  1.172500e+01   6.908985e-01  -6.420440e-01   0.000000e+00   0.000000e+00 
  1.187500e+01   1.004541e+00  -1.509548e+00   0.000000e+00   0.000000e+00 
  1.212500e+01   1.963310e+00  -2.325526e+00   0.000000e+00   0.000000e+00 
  1.227500e+01   2.623022e+00  -2.004830e+00   0.000000e+00   0.000000e+00 
  1.332500e+01   8.942879e+00  -4.014081e+00   0.000000e+00   0.000000e+00 
  1.347500e+01   1.029323e+01  -5.019820e+00   0.000000e+00   0.000000e+00 
  1.382500e+01   1.411889e+01  -5.910649e+00   0.000000e+00   0.000000e+00 
  1.397500e+01   1.501890e+01   3.503586e-02   0.000000e+00   0.000000e+00 
  1.450000e+01   1.500049e+01   3.700371e-05   0.000000e+00   0.000000e+00 
  1.450000e+01   1.500049e+01   3.700371e-05   0.000000e+00   0.000000e+00 
  1.472500e+01   1.500385e+01  -1.496251e-02   0.000000e+00   0.000000e+00 
  1.472500e+01   1.500385e+01  -1.496251e-02   0.000000e+00   0.000000e+00 
  1.502500e+01   1.501883e+01  -3.496185e-02   0.000000e+00   0.000000e+00 
  1.517500e+01   1.467221e+01   2.327195e+00   0.000000e+00   0.000000e+00 
  1.572500e+01   1.224457e+01   2.086692e+00   0.000000e+00   0.000000e+00 
  1.587500e+01   1.195464e+01  -1.362835e-01   0.000000e+00   0.000000e+00 
  1.587500e+01   1.195464e+01  -1.362835e-01   0.000000e+00   0.000000e+00 
  1.587500e+01   1.195464e+01  -1.362835e-01   0.000000e+00   0.000000e+00 
  1.587500e+01   1.195464e+01  -1.362835e-01   0.000000e+00   0.000000e+00 
  1.640000e+01   1.212122e+01  -1.810152e-01   0.000000e+00   0.000000e+00 
  1.644952e+01   1.213936e+01  -1.852340e-01   0.000000e+00   0.000000e+00 
  1.949362e+01   1.339201e+01  -2.466059e-01   0.000000e+00   0.000000e+00 
  1.954313e+01   1.341663e+01  -2.505281e-01   0.000000e+00   0.000000e+00 
  1.965405e+01   1.347318e+01  -2.593143e-01   0.000000e+00   0.000000e+00 
  1.970357e+01   1.349905e+01  -2.632366e-01   0.000000e+00   0.000000e+00 
  2.274767e+01   1.548064e+01  -3.932458e-01   0.000000e+00   0.000000e+00 
  2.279718e+01   1.551976e+01  -3.969390e-01   0.000000e+00   0.000000e+00 
  2.279718e+01   1.551976e+01  -3.969390e-01   0.000000e+00   0.000000e+00 
  2.304718e+01   1.572289e+01  -4.155855e-01   0.000000e+00   0.000000e+00 
  2.329718e+01   1.593535e+01  -4.342321e-01   0.000000e+00   0.000000e+00 
  2.389718e+01   1.648328e+01  -4.789838e-01   0.000000e+00   0.000000e+00 
  2.429718e+01   1.687840e+01  -5.088183e-01   0.000000e+00   0.000000e+00 
  2.444718e+01   1.520397e+01   1.125255e+01   0.000000e+00   0.000000e+00 
  2.444718e+01   1.520397e+01   1.125255e+01   0.000000e+00   0.000000e+00 
  2.444718e+01   1.520397e+01   1.125255e+01   0.000000e+00   0.000000e+00 
  2.444718e+01   1.520397e+01   1.125255e+01   0.000000e+00   0.000000e+00 
  2.484718e+01   7.544951e+00   7.895009e+00   0.000000e+00   0.000000e+00 
  2.499718e+01   5.933607e+00   3.171807e+00   0.000000e+00   0.000000e+00 
  2.539718e+01   3.694404e+00   2.426199e+00   0.000000e+00   0.000000e+00 
  2.559718e+01   2.798485e+00   2.053395e+00   0.000000e+00   0.000000e+00 
  2.719718e+01   9.995114e-01  -9.290367e-01   0.000000e+00   0.000000e+00 
  2.739718e+01   1.445687e+00  -1.301841e+00   0.000000e+00   0.000000e+00 
  2.764718e+01   2.213108e+00  -1.767846e+00   0.000000e+00   0.000000e+00 
  2.764718e+01   2.213108e+00  -1.767846e+00   0.000000e+00   0.000000e+00 
  2.789718e+01   3.213533e+00  -2.233851e+00   0.000000e+00   0.000000e+00 
  2.789718e+01   3.213533e+00  -2.233851e+00   0.000000e+00   0.000000e+00 
  2.814718e+01   4.446959e+00  -2.699856e+00   0.000000e+00   0.000000e+00 
  2.814718e+01   4.446959e+00  -2.699856e+00   0.000000e+00   0.000000e+00 
  2.839718e+01   5.913388e+00  -3.165861e+00   0.000000e+00   0.000000e+00 
  2.859718e+01   7.254293e+00  -3.538665e+00   0.000000e+00   0.000000e+00 
  3.019718e+01   2.334991e+01  -6.521097e+00   0.000000e+00   0.000000e+00 
  3.039718e+01   2.603291e+01  -6.893901e+00   0.000000e+00   0.000000e+00 
  3.069718e+01   3.033701e+01  -7.453107e+00   0.000000e+00   0.000000e+00 
  3.084718e+01   3.361878e+01  -1.465245e+01   0.000000e+00   0.000000e+00 
  3.084718e+01   3.361878e+01  -1.465245e+01   0.000000e+00   0.000000e+00 
  3.084718e+01   3.361878e+01  -1.465245e+01   0.000000e+00   0.000000e+00 
  3.084718e+01   3.361878e+01  -1.465245e+01   0.000000e+00   0.000000e+00 
  3.144718e+01   5.351143e+01  -1.850198e+01   0.000000e+00   0.000000e+00 
  3.159718e+01   5.574753e+01   3.902165e+00   0.000000e+00   0.000000e+00 
  3.409718e+01   3.805594e+01   3.174469e+00   0.000000e+00   0.000000e+00 
  3.409718e+01   3.805594e+01   3.174469e+00   0.000000e+00   0.000000e+00 
  3.459718e+01   3.495424e+01   3.028930e+00   0.000000e+00   0.000000e+00 
  3.459718e+01   3.495424e+01   3.028930e+00   0.000000e+00   0.000000e+00 
  3.459718e+01   3.495424e+01   3.028930e+00   0.000000e+00   0.000000e+00 
  3.459718e+01   3.495424e+01   3.028930e+00   0.000000e+00   0.000000e+00 
  3.474718e+01   3.520399e+01  -4.712280e+00   0.000000e+00   0.000000e+00 
  3.524718e+01   4.008107e+01  -5.041868e+00   0.000000e+00   0.000000e+00 
  3.539718e+01   4.114127e+01  -1.999275e+00   0.000000e+00   0.000000e+00 
  3.589718e+01   4.317091e+01  -2.060006e+00   0.000000e+00   0.000000e+00 
  3.604718e+01   4.322414e+01   1.706693e+00   0.000000e+00   0.000000e+00 
  3.604718e+01   4.322414e+01   1.706693e+00   0.000000e+00   0.000000e+00 
  3.604718e+01   4.322414e+01   1.706693e+00   0.000000e+00   0.000000e+00 
  3.604718e+01   4.322414e+01   1.706693e+00   0.000000e+00   0.000000e+00 
  3.604718e+01   4.322414e+01   1.706693e+00   0.000000e+00   0.000000e+00 
  3.637218e+01   4.212435e+01   1.677273e+00   0.000000e+00   0.000000e+00 
  3.642169e+01   4.195847e+01   1.672791e+00   0.000000e+00   0.000000e+00 
  3.946579e+01   3.214682e+01   1.526162e+00   0.000000e+00   0.000000e+00 
  3.951531e+01   3.199593e+01   1.521035e+00   0.000000e+00   0.000000e+00 
  3.962623e+01   3.165978e+01   1.509548e+00   0.000000e+00   0.000000e+00 
  3.967574e+01   3.151055e+01   1.504420e+00   0.000000e+00   0.000000e+00 
  4.271984e+01   2.308717e+01   1.250672e+00   0.000000e+00   0.000000e+00 
  4.276936e+01   2.296359e+01   1.245173e+00   0.000000e+00   0.000000e+00 
  4.276936e+01   2.296359e+01   1.245173e+00   0.000000e+00   0.000000e+00 
  4.326936e+01   2.174618e+01   1.189640e+00   0.000000e+00   0.000000e+00 
  4.331887e+01   2.162865e+01   1.184141e+00   0.000000e+00   0.000000e+00 
  4.636297e+01   1.534249e+01   8.750175e-01   0.000000e+00   0.000000e+00 
  4.641249e+01   1.525612e+01   8.693192e-01   0.000000e+00   0.000000e+00 
  4.652341e+01   1.506468e+01   8.565542e-01   0.000000e+00   0.000000e+00 
  4.657292e+01   1.498014e+01   8.508559e-01   0.000000e+00   0.000000e+00 
  4.961702e+01   1.081158e+01   5.156888e-01   0.000000e+00   0.000000e+00 
  4.966654e+01   1.076080e+01   5.098910e-01   0.000000e+00   0.000000e+00 
  4.966654e+01   1.076080e+01   5.098910e-01   0.000000e+00   0.000000e+00 
