Printout for SDDS file one.sig

       s             enx            eny      
       m              m              m       
---------------------------------------------
  6.786446e+01   9.772719e-06   1.088895e-05 
  7.090856e+01   9.772744e-06   1.088892e-05 
  7.095808e+01   9.772744e-06   1.088892e-05 
  7.095808e+01   9.772744e-06   1.088892e-05 
  7.145808e+01   9.772744e-06   1.088892e-05 
  7.150759e+01   9.772744e-06   1.088892e-05 
  7.455169e+01   9.772753e-06   1.088892e-05 
  7.460121e+01   9.772753e-06   1.088892e-05 
  7.471213e+01   9.772753e-06   1.088892e-05 
  7.476164e+01   9.772753e-06   1.088892e-05 
  7.780574e+01   9.772747e-06   1.088892e-05 
  7.785526e+01   9.772747e-06   1.088892e-05 
  7.785526e+01   9.772747e-06   1.088892e-05 
  7.818026e+01   9.772747e-06   1.088892e-05 
  7.833026e+01   9.772480e-06   1.088963e-05 
  7.833026e+01   9.772480e-06   1.088963e-05 
  7.833026e+01   9.772511e-06   1.088963e-05 
  7.833026e+01   9.772511e-06   1.088961e-05 
  7.865526e+01   9.772511e-06   1.088961e-05 
  7.870477e+01   9.772511e-06   1.088961e-05 
  8.174887e+01   9.772474e-06   1.088961e-05 
  8.179839e+01   9.772474e-06   1.088961e-05 
  8.190931e+01   9.772474e-06   1.088961e-05 
  8.195882e+01   9.772474e-06   1.088961e-05 
  8.500292e+01   9.772443e-06   1.088962e-05 
  8.505244e+01   9.772443e-06   1.088962e-05 
  8.505244e+01   9.772443e-06   1.088962e-05 
  8.555244e+01   9.772443e-06   1.088962e-05 
  8.560195e+01   9.772443e-06   1.088962e-05 
  8.864605e+01   9.772417e-06   1.088963e-05 
  8.869557e+01   9.772417e-06   1.088963e-05 
  8.880649e+01   9.772417e-06   1.088963e-05 
  8.885600e+01   9.772417e-06   1.088963e-05 
  9.190010e+01   9.772399e-06   1.088963e-05 
  9.194962e+01   9.772399e-06   1.088963e-05 
  9.194962e+01   9.772399e-06   1.088963e-05 
  9.227462e+01   9.772399e-06   1.088963e-05 
  9.242462e+01   9.772817e-06   1.089836e-05 
  9.242462e+01   9.772817e-06   1.089836e-05 
  9.242462e+01   9.772814e-06   1.089836e-05 
  9.242462e+01   9.772814e-06   1.089839e-05 
  9.274962e+01   9.772814e-06   1.089839e-05 
  9.279913e+01   9.772814e-06   1.089839e-05 
  9.584323e+01   9.772797e-06   1.089837e-05 
  9.589275e+01   9.772797e-06   1.089837e-05 
  9.600367e+01   9.772797e-06   1.089837e-05 
  9.605318e+01   9.772797e-06   1.089837e-05 
  9.909728e+01   9.772782e-06   1.089835e-05 
  9.914680e+01   9.772782e-06   1.089835e-05 
  9.914680e+01   9.772782e-06   1.089835e-05 
  9.939680e+01   9.772782e-06   1.089835e-05 
  9.939680e+01   9.772782e-06   1.089835e-05 
  9.964680e+01   9.772782e-06   1.089835e-05 
  9.969631e+01   9.772782e-06   1.089835e-05 
  1.027404e+02   9.772771e-06   1.089834e-05 
  1.027899e+02   9.772771e-06   1.089834e-05 
  1.029008e+02   9.772771e-06   1.089834e-05 
  1.029504e+02   9.772771e-06   1.089834e-05 
  1.059945e+02   9.772766e-06   1.089833e-05 
  1.060440e+02   9.772766e-06   1.089833e-05 
  1.060440e+02   9.772766e-06   1.089833e-05 
  1.063690e+02   9.772766e-06   1.089833e-05 
  1.065190e+02   9.772644e-06   1.089678e-05 
  1.065190e+02   9.772644e-06   1.089678e-05 
  1.065190e+02   9.772054e-06   1.089678e-05 
  1.065190e+02   9.772054e-06   1.089706e-05 
  1.068440e+02   9.772054e-06   1.089706e-05 
  1.068935e+02   9.772054e-06   1.089706e-05 
  1.099376e+02   9.772078e-06   1.089705e-05 
  1.099871e+02   9.772078e-06   1.089705e-05 
  1.100980e+02   9.772078e-06   1.089705e-05 
  1.101475e+02   9.772078e-06   1.089705e-05 
  1.131916e+02   9.772101e-06   1.089704e-05 
  1.132412e+02   9.772101e-06   1.089704e-05 
  1.132412e+02   9.772101e-06   1.089704e-05 
  1.137412e+02   9.772101e-06   1.089704e-05 
  1.137907e+02   9.772101e-06   1.089704e-05 
