Printout for SDDS file one.twi

       s            betax          alphax          etax          etaxp     
       m              m                             m                      
---------------------------------------------------------------------------
  3.159718e+01   5.859501e+00  -5.328873e-01  -7.520564e-07  -1.304784e-07 
  3.409718e+01   9.893475e+00  -1.080702e+00  -1.078252e-06  -1.304784e-07 
  3.409718e+01   9.893475e+00  -1.080702e+00  -1.078252e-06  -1.304784e-07 
  3.459718e+01   1.102896e+01  -1.190265e+00  -1.143492e-06  -1.304784e-07 
  3.459718e+01   1.102896e+01  -1.190265e+00  -1.143492e-06  -1.304784e-07 
  3.459718e+01   1.102896e+01  -1.190265e+00  -1.143492e-06  -1.304784e-07 
  3.459718e+01   1.102896e+01  -1.190265e+00  -1.143492e-06  -1.304784e-07 
  3.474718e+01   1.102135e+01   1.240405e+00  -1.144047e-06   1.230884e-07 
  3.524718e+01   9.838532e+00   1.125238e+00  -1.082503e-06   1.230884e-07 
  3.539718e+01   9.616289e+00   3.620144e-01  -1.070187e-06   4.128151e-08 
  3.589718e+01   9.283679e+00   3.032051e-01  -1.049546e-06   4.128151e-08 
  3.604718e+01   9.316520e+00  -5.230969e-01  -1.050211e-06  -5.015224e-08 
  3.604718e+01   9.316520e+00  -5.230969e-01  -1.050211e-06  -5.015224e-08 
  3.604718e+01   9.316520e+00  -5.230969e-01  -1.050211e-06  -5.015224e-08 
  3.604718e+01   9.316520e+00  -5.230969e-01  -1.050211e-06  -5.015224e-08 
  3.604718e+01   9.316520e+00  -5.230969e-01  -1.050211e-06  -5.015224e-08 
  3.637218e+01   9.670972e+00  -5.675266e-01  -1.066510e-06  -5.015224e-08 
  3.642169e+01   9.727510e+00  -5.742956e-01  -1.068994e-06  -5.015224e-08 
  3.946579e+01   1.432791e+01  -9.343205e-01  -1.087221e-06  -4.079725e-08 
  3.951531e+01   1.442075e+01  -9.407932e-01  -1.089241e-06  -4.079725e-08 
  3.962623e+01   1.463107e+01  -9.552927e-01  -1.093766e-06  -4.079725e-08 
  3.967574e+01   1.472599e+01  -9.617654e-01  -1.095787e-06  -4.079725e-08 
  4.271984e+01   2.162823e+01  -1.302383e+00  -1.109929e-06  -3.442838e-08 
  4.276936e+01   2.175751e+01  -1.308555e+00  -1.111634e-06  -3.442838e-08 
  4.276936e+01   2.175751e+01  -1.308555e+00  -1.111634e-06  -3.442838e-08 
  4.326936e+01   2.309723e+01  -1.370886e+00  -1.128848e-06  -3.442838e-08 
  4.331887e+01   2.323329e+01  -1.377059e+00  -1.130553e-06  -3.442838e-08 
  4.636297e+01   3.259275e+01  -1.694280e+00  -1.140945e-06  -2.978110e-08 
  4.641249e+01   3.276083e+01  -1.700160e+00  -1.142419e-06  -2.978110e-08 
  4.652341e+01   3.313945e+01  -1.713332e+00  -1.145723e-06  -2.978110e-08 
  4.657292e+01   3.330942e+01  -1.719213e+00  -1.147197e-06  -2.978110e-08 
  4.961702e+01   4.469003e+01  -2.016359e+00  -1.155792e-06  -2.625299e-08 
  4.966654e+01   4.488998e+01  -2.021972e+00  -1.157091e-06  -2.625299e-08 
  4.966654e+01   4.488998e+01  -2.021972e+00  -1.157091e-06  -2.625299e-08 
  4.966654e+01   4.488998e+01  -2.021972e+00  -1.157091e-06  -2.625299e-08 
  4.999154e+01   4.621624e+01  -2.058811e+00  -1.165624e-06  -2.625299e-08 
  5.014154e+01   4.622928e+01   1.972260e+00  -1.161940e-06   7.532169e-08 
  5.014154e+01   4.622928e+01   1.972260e+00  -1.161940e-06   7.532169e-08 
  5.014154e+01   4.622928e+01   1.972260e+00  -1.161940e-06   7.532169e-08 
  5.014154e+01   4.622928e+01   1.972260e+00  -1.161940e-06   7.532169e-08 
  5.046654e+01   4.495848e+01   1.937884e+00  -1.137460e-06   7.532169e-08 
  5.051605e+01   4.476683e+01   1.932647e+00  -1.133730e-06   7.532169e-08 
  5.356015e+01   3.384749e+01   1.648555e+00  -8.511733e-07   7.212390e-08 
  5.360967e+01   3.368451e+01   1.643116e+00  -8.476021e-07   7.212390e-08 
  5.372059e+01   3.332135e+01   1.630933e+00  -8.396021e-07   7.212390e-08 
  5.377010e+01   3.316011e+01   1.625494e+00  -8.360309e-07   7.212390e-08 
  5.681420e+01   2.420487e+01   1.312732e+00  -5.839408e-07   6.906468e-08 
  5.686372e+01   2.407514e+01   1.307161e+00  -5.805210e-07   6.906468e-08 
  5.686372e+01   2.407514e+01   1.307161e+00  -5.805210e-07   6.906468e-08 
  5.736372e+01   2.279611e+01   1.250907e+00  -5.459887e-07   6.906468e-08 
  5.741323e+01   2.267251e+01   1.245336e+00  -5.425690e-07   6.906468e-08 
  6.045733e+01   1.609140e+01   9.145069e-01  -3.163958e-07   6.617406e-08 
  6.050685e+01   1.600111e+01   9.088563e-01  -3.131192e-07   6.617406e-08 
  6.061777e+01   1.580090e+01   8.961983e-01  -3.057792e-07   6.617406e-08 
  6.066728e+01   1.571243e+01   8.905478e-01  -3.025025e-07   6.617406e-08 
  6.371138e+01   1.132397e+01   5.499327e-01  -9.655477e-08   6.348768e-08 
  6.376090e+01   1.126980e+01   5.442378e-01  -9.341118e-08   6.348768e-08 
  6.376090e+01   1.126980e+01   5.442378e-01  -9.341118e-08   6.348768e-08 
  6.408590e+01   1.092819e+01   5.068579e-01  -7.277768e-08   6.348768e-08 
  6.423590e+01   1.092094e+01  -4.583297e-01  -6.371016e-08   5.754433e-08 
  6.423590e+01   1.092094e+01  -4.583297e-01  -6.371016e-08   5.754433e-08 
  6.423590e+01   1.092094e+01  -4.583297e-01  -6.371016e-08   5.754433e-08 
  6.423590e+01   1.092094e+01  -4.583297e-01  -6.371016e-08   5.754433e-08 
  6.456090e+01   1.123056e+01  -4.943404e-01  -4.500826e-08   5.754433e-08 
  6.461042e+01   1.127979e+01  -4.998268e-01  -4.215895e-08   5.754433e-08 
  6.765452e+01   1.532732e+01  -8.292858e-01   1.277987e-07   5.527238e-08 
  6.770403e+01   1.540972e+01  -8.347380e-01   1.305356e-07   5.527238e-08 
  6.781495e+01   1.559625e+01  -8.469516e-01   1.366664e-07   5.527238e-08 
  6.786446e+01   1.568040e+01  -8.524038e-01   1.394032e-07   5.527238e-08 
  7.090856e+01   2.186315e+01  -1.177942e+00   2.963689e-07   5.317207e-08 
  7.095808e+01   2.198007e+01  -1.183349e+00   2.990018e-07   5.317207e-08 
  7.095808e+01   2.198007e+01  -1.183349e+00   2.990018e-07   5.317207e-08 
  7.145808e+01   2.319072e+01  -1.237951e+00   3.255878e-07   5.317207e-08 
  7.150759e+01   2.331359e+01  -1.243359e+00   3.282206e-07   5.317207e-08 
  7.455169e+01   3.186066e+01  -1.563528e+00   4.732872e-07   5.122109e-08 
  7.460121e+01   3.201576e+01  -1.568881e+00   4.758234e-07   5.122109e-08 
  7.471213e+01   3.236513e+01  -1.580873e+00   4.815048e-07   5.122109e-08 
  7.476164e+01   3.252195e+01  -1.586227e+00   4.840410e-07   5.122109e-08 
  7.780574e+01   4.313954e+01  -1.900768e+00   6.194204e-07   4.941418e-08 
  7.785526e+01   4.332803e+01  -1.906063e+00   6.218671e-07   4.941418e-08 
  7.785526e+01   4.332803e+01  -1.906063e+00   6.218671e-07   4.941418e-08 
  7.818026e+01   4.457827e+01  -1.940815e+00   6.379267e-07   4.941418e-08 
  7.833026e+01   4.457740e+01   1.946574e+00   6.411559e-07  -6.404894e-09 
  7.833026e+01   4.457740e+01   1.946574e+00   6.411559e-07  -6.404894e-09 
  7.833026e+01   4.457740e+01   1.946574e+00   6.411559e-07  -6.404894e-09 
  7.833026e+01   4.457740e+01   1.946574e+00   6.411559e-07  -6.404894e-09 
  7.865526e+01   4.332347e+01   1.911658e+00   6.390743e-07  -6.404894e-09 
  7.870477e+01   4.313443e+01   1.906338e+00   6.387572e-07  -6.404894e-09 
  8.174887e+01   3.249045e+01   1.588958e+00   6.005295e-07  -6.397506e-09 
  8.179839e+01   3.233336e+01   1.583587e+00   6.002127e-07  -6.397506e-09 
  8.190931e+01   3.198340e+01   1.571553e+00   5.995031e-07  -6.397506e-09 
  8.195882e+01   3.182803e+01   1.566182e+00   5.991863e-07  -6.397506e-09 
  8.500292e+01   2.327671e+01   1.242064e+00   5.631774e-07  -6.370735e-09 
  8.505244e+01   2.315397e+01   1.236655e+00   5.628620e-07  -6.370735e-09 
  8.505244e+01   2.315397e+01   1.236655e+00   5.628620e-07  -6.370735e-09 
  8.555244e+01   2.194463e+01   1.182036e+00   5.596766e-07  -6.370735e-09 
  8.560195e+01   2.182784e+01   1.176627e+00   5.593612e-07  -6.370735e-09 
  8.864605e+01   1.566368e+01   8.477552e-01   5.253983e-07  -6.329127e-09 
  8.869557e+01   1.557999e+01   8.423222e-01   5.250849e-07  -6.329127e-09 
  8.880649e+01   1.539448e+01   8.301515e-01   5.243829e-07  -6.329127e-09 
  8.885600e+01   1.531254e+01   8.247185e-01   5.240695e-07  -6.329127e-09 
  9.190010e+01   1.130005e+01   4.930639e-01   4.918795e-07  -6.277141e-09 
  9.194962e+01   1.125150e+01   4.876168e-01   4.915687e-07  -6.277141e-09 
  9.194962e+01   1.125150e+01   4.876168e-01   4.915687e-07  -6.277141e-09 
  9.227462e+01   1.094616e+01   4.518637e-01   4.895286e-07  -6.277141e-09 
  9.242462e+01   1.095568e+01  -5.155920e-01   4.917894e-07   3.645426e-08 
  9.242462e+01   1.095568e+01  -5.155920e-01   4.917894e-07   3.645426e-08 
  9.242462e+01   1.095568e+01  -5.155920e-01   4.917894e-07   3.645426e-08 
  9.242462e+01   1.095568e+01  -5.155920e-01   4.917894e-07   3.645426e-08 
  9.274962e+01   1.130302e+01  -5.531430e-01   5.036370e-07   3.645426e-08 
  9.279913e+01   1.135808e+01  -5.588640e-01   5.054421e-07   3.645426e-08 
  9.584323e+01   1.582281e+01  -9.075726e-01   6.014270e-07   3.547101e-08 
  9.589275e+01   1.591297e+01  -9.132796e-01   6.031834e-07   3.547101e-08 
  9.600367e+01   1.611699e+01  -9.260638e-01   6.071178e-07   3.547101e-08 
  9.605318e+01   1.620898e+01  -9.317708e-01   6.088741e-07   3.547101e-08 
  9.909728e+01   2.293870e+01  -1.278626e+00   7.002286e-07   3.454248e-08 
  9.914680e+01   2.306560e+01  -1.284314e+00   7.019390e-07   3.454248e-08 
  9.914680e+01   2.306560e+01  -1.284314e+00   7.019390e-07   3.454248e-08 
  9.939680e+01   2.371494e+01  -1.313030e+00   7.105746e-07   3.454248e-08 
  9.939680e+01   2.371494e+01  -1.313030e+00   7.105746e-07   3.454248e-08 
  9.964680e+01   2.437863e+01  -1.341747e+00   7.192102e-07   3.454248e-08 
  9.969631e+01   2.451179e+01  -1.347434e+00   7.209206e-07   3.454248e-08 
  1.027404e+02   3.376451e+01  -1.691696e+00   8.077619e-07   3.366237e-08 
  1.027899e+02   3.393232e+01  -1.697360e+00   8.094286e-07   3.366237e-08 
  1.029008e+02   3.431027e+01  -1.710046e+00   8.131625e-07   3.366237e-08 
  1.029504e+02   3.447990e+01  -1.715710e+00   8.148293e-07   3.366237e-08 
  1.059945e+02   4.596623e+01  -2.057118e+00   8.978303e-07   3.282924e-08 
  1.060440e+02   4.617023e+01  -2.062753e+00   8.994558e-07   3.282924e-08 
  1.060440e+02   4.617023e+01  -2.062753e+00   8.994558e-07   3.282924e-08 
  1.063690e+02   4.752304e+01  -2.099744e+00   9.101253e-07   3.282924e-08 
  1.065190e+02   4.753125e+01   2.045266e+00   9.090943e-07  -4.656137e-08 
  1.065190e+02   4.753125e+01   2.045266e+00   9.090943e-07  -4.656137e-08 
  1.065190e+02   4.753125e+01   2.045266e+00   9.090943e-07  -4.656137e-08 
  1.065190e+02   4.753125e+01   2.045266e+00   9.090943e-07  -4.656137e-08 
  1.068440e+02   4.621334e+01   2.009826e+00   8.939619e-07  -4.656137e-08 
  1.068935e+02   4.601458e+01   2.004427e+00   8.916564e-07  -4.656137e-08 
  1.099376e+02   3.480562e+01   1.677180e+00   7.346183e-07  -4.573203e-08 
  1.099871e+02   3.463979e+01   1.671756e+00   7.323539e-07  -4.573203e-08 
  1.100980e+02   3.427028e+01   1.659605e+00   7.272813e-07  -4.573203e-08 
  1.101475e+02   3.410620e+01   1.654180e+00   7.250168e-07  -4.573203e-08 
  1.131916e+02   2.503958e+01   1.323812e+00   5.743168e-07  -4.492641e-08 
  1.132412e+02   2.490876e+01   1.318369e+00   5.720923e-07  -4.492641e-08 
  1.132412e+02   2.490876e+01   1.318369e+00   5.720923e-07  -4.492641e-08 
  1.137412e+02   2.361787e+01   1.263406e+00   5.496291e-07  -4.492641e-08 
  1.137907e+02   2.349302e+01   1.257963e+00   5.474045e-07  -4.492641e-08 
  1.168348e+02   1.684618e+01   9.252651e-01   4.028909e-07  -4.414279e-08 
  1.168843e+02   1.675482e+01   9.198095e-01   4.007052e-07  -4.414279e-08 
  1.169952e+02   1.655213e+01   9.075883e-01   3.958089e-07  -4.414279e-08 
  1.170447e+02   1.646252e+01   9.021327e-01   3.936231e-07  -4.414279e-08 
  1.200888e+02   1.198676e+01   5.679941e-01   2.545262e-07  -4.338334e-08 
  1.201383e+02   1.193078e+01   5.625306e-01   2.523781e-07  -4.338334e-08 
  1.201383e+02   1.193078e+01   5.625306e-01   2.523781e-07  -4.338334e-08 
  1.204633e+02   1.157679e+01   5.266702e-01   2.382785e-07  -4.338334e-08 
  1.206133e+02   1.157196e+01  -4.943318e-01   2.333166e-07  -2.284777e-08 
  1.206133e+02   1.157196e+01  -4.943318e-01   2.333166e-07  -2.284777e-08 
  1.206133e+02   1.157196e+01  -4.943318e-01   2.333166e-07  -2.284777e-08 
  1.206133e+02   1.157196e+01  -4.943318e-01   2.333166e-07  -2.284777e-08 
  1.209383e+02   1.190463e+01  -5.292800e-01   2.258910e-07  -2.284777e-08 
  1.209879e+02   1.195731e+01  -5.346045e-01   2.247597e-07  -2.284777e-08 
  1.240320e+02   1.620406e+01  -8.603445e-01   1.524824e-07  -2.246982e-08 
  1.240815e+02   1.628952e+01  -8.656620e-01   1.513698e-07  -2.246982e-08 
  1.241924e+02   1.648288e+01  -8.775739e-01   1.488774e-07  -2.246982e-08 
  1.242419e+02   1.657005e+01  -8.828915e-01   1.477648e-07  -2.246982e-08 
  1.272860e+02   2.293450e+01  -1.207677e+00   7.801449e-08  -2.210322e-08 
  1.273355e+02   2.305436e+01  -1.212985e+00   7.692005e-08  -2.210322e-08 
  1.273355e+02   2.305436e+01  -1.212985e+00   7.692005e-08  -2.210322e-08 
  1.278355e+02   2.429414e+01  -1.266583e+00   6.586844e-08  -2.210322e-08 
  1.278850e+02   2.441983e+01  -1.271891e+00   6.477400e-08  -2.210322e-08 
  1.309291e+02   3.314859e+01  -1.595316e+00  -2.475315e-09  -2.174700e-08 
  1.309786e+02   3.330684e+01  -1.600611e+00  -3.552117e-09  -2.174700e-08 
  1.310896e+02   3.366323e+01  -1.612473e+00  -5.964294e-09  -2.174700e-08 
  1.311391e+02   3.382318e+01  -1.617769e+00  -7.041097e-09  -2.174700e-08 
  1.341832e+02   4.465314e+01  -1.939656e+00  -7.208554e-08  -2.140171e-08 
  1.342327e+02   4.484548e+01  -1.944937e+00  -7.314525e-08  -2.140171e-08 
  1.342327e+02   4.484548e+01  -1.944937e+00  -7.314525e-08  -2.140171e-08 
  1.345577e+02   4.612096e+01  -1.979598e+00  -8.010080e-08  -2.140171e-08 
  1.347077e+02   4.611153e+01   2.042172e+00  -8.278087e-08  -1.429357e-08 
  1.347077e+02   4.611153e+01   2.042172e+00  -8.278087e-08  -1.429357e-08 
  1.347077e+02   4.611153e+01   2.042172e+00  -8.278087e-08  -1.429357e-08 
  1.347077e+02   4.611153e+01   2.042172e+00  -8.278087e-08  -1.429357e-08 
  1.350327e+02   4.479596e+01   2.005730e+00  -8.742628e-08  -1.429357e-08 
  1.350822e+02   4.459761e+01   2.000178e+00  -8.813403e-08  -1.429357e-08 
  1.381263e+02   3.345039e+01   1.661412e+00  -1.296256e-07  -1.406723e-08 
  1.381758e+02   3.328614e+01   1.655846e+00  -1.303221e-07  -1.406723e-08 
  1.382867e+02   3.292019e+01   1.643377e+00  -1.318825e-07  -1.406723e-08 
  1.383363e+02   3.275772e+01   1.637811e+00  -1.325790e-07  -1.406723e-08 
  1.413804e+02   2.382215e+01   1.297325e+00  -1.727893e-07  -1.384801e-08 
  1.414299e+02   2.369395e+01   1.291748e+00  -1.734750e-07  -1.384801e-08 
  1.414299e+02   2.369395e+01   1.291748e+00  -1.734750e-07  -1.384801e-08 
  1.419299e+02   2.243036e+01   1.235434e+00  -1.803990e-07  -1.384801e-08 
  1.419794e+02   2.230829e+01   1.229857e+00  -1.810847e-07  -1.384801e-08 
  1.450235e+02   1.586061e+01   8.880728e-01  -2.200106e-07  -1.363527e-08 
  1.450730e+02   1.577294e+01   8.824888e-01  -2.206857e-07  -1.363527e-08 
  1.451839e+02   1.557856e+01   8.699798e-01  -2.221982e-07  -1.363527e-08 
  1.452334e+02   1.549268e+01   8.643958e-01  -2.228733e-07  -1.363527e-08 
  1.482775e+02   1.127263e+01   5.218089e-01  -2.606636e-07  -1.342917e-08 
  1.483271e+02   1.122123e+01   5.162204e-01  -2.613285e-07  -1.342917e-08 
  1.483271e+02   1.122123e+01   5.162204e-01  -2.613285e-07  -1.342917e-08 
  1.486521e+02   1.089761e+01   4.795393e-01  -2.656930e-07  -1.342917e-08 
  1.488021e+02   1.089818e+01  -4.833514e-01  -2.694510e-07  -3.673197e-08 
  1.488021e+02   1.089818e+01  -4.833514e-01  -2.694510e-07  -3.673197e-08 
  1.488021e+02   1.089818e+01  -4.833514e-01  -2.694510e-07  -3.673197e-08 
  1.488021e+02   1.089818e+01  -4.833514e-01  -2.694510e-07  -3.673197e-08 
  1.488021e+02   1.089818e+01  -4.833514e-01  -2.694510e-07  -3.673197e-08 
  1.491271e+02   1.122432e+01  -5.201401e-01  -2.813889e-07  -3.673197e-08 
  1.491766e+02   1.127610e+01  -5.257449e-01  -2.832077e-07  -3.673197e-08 
  1.522207e+02   1.552328e+01  -8.693911e-01  -3.896249e-07  -3.621220e-08 
  1.522702e+02   1.560965e+01  -8.749918e-01  -3.914179e-07  -3.621220e-08 
  1.523811e+02   1.580515e+01  -8.875379e-01  -3.954346e-07  -3.621220e-08 
  1.524306e+02   1.589332e+01  -8.931386e-01  -3.972276e-07  -3.621220e-08 
