Printout for SDDS file one.cen

       s              Cx             Cy      
       m              m              m       
---------------------------------------------
  1.027404e+02  -1.493837e-05  -2.541819e-06 
  1.027899e+02  -1.495832e-05  -2.539546e-06 
  1.029008e+02  -1.500300e-05  -2.534453e-06 
  1.029504e+02  -1.502295e-05  -2.532180e-06 
  1.059945e+02  -1.591730e-05  -2.341870e-06 
  1.060440e+02  -1.593715e-05  -2.339635e-06 
  1.060440e+02  -1.593715e-05  -2.339635e-06 
  1.063690e+02  -1.606747e-05  -2.324969e-06 
  1.065190e+02  -1.602263e-05  -2.333382e-06 
  1.065190e+02  -1.602263e-05  -2.333382e-06 
  1.065190e+02  -1.602263e-05  -2.333382e-06 
  1.065190e+02  -1.602263e-05  -2.333382e-06 
  1.068440e+02  -1.569819e-05  -2.384542e-06 
  1.068935e+02  -1.564876e-05  -2.392336e-06 
  1.099376e+02  -1.236327e-05  -2.812583e-06 
  1.099871e+02  -1.231509e-05  -2.820187e-06 
  1.100980e+02  -1.220715e-05  -2.837220e-06 
  1.101475e+02  -1.215897e-05  -2.844824e-06 
  1.131916e+02  -9.023330e-06  -3.246398e-06 
  1.132412e+02  -8.976237e-06  -3.253801e-06 
  1.132412e+02  -8.976237e-06  -3.253801e-06 
  1.137412e+02  -8.500689e-06  -3.328553e-06 
  1.137907e+02  -8.453596e-06  -3.335956e-06 
  1.168348e+02  -5.456403e-06  -3.717957e-06 
  1.168843e+02  -5.410243e-06  -3.725147e-06 
  1.169952e+02  -5.306837e-06  -3.741254e-06 
  1.170447e+02  -5.260677e-06  -3.748444e-06 
  1.200888e+02  -2.378574e-06  -4.112222e-06 
  1.201383e+02  -2.333217e-06  -4.119193e-06 
  1.201383e+02  -2.333217e-06  -4.119193e-06 
  1.204633e+02  -2.035510e-06  -4.164945e-06 
  1.206133e+02  -1.911148e-06  -4.158935e-06 
  1.206133e+02  -1.911148e-06  -4.158935e-06 
  1.206133e+02  -1.911148e-06  -4.158935e-06 
  1.206133e+02  -1.911148e-06  -4.158935e-06 
  1.209383e+02  -1.669362e-06  -4.087171e-06 
  1.209879e+02  -1.632525e-06  -4.076237e-06 
  1.240320e+02   6.247898e-07  -3.341858e-06 
  1.240815e+02   6.611153e-07  -3.331021e-06 
  1.241924e+02   7.424891e-07  -3.306745e-06 
  1.242419e+02   7.788146e-07  -3.295909e-06 
  1.272860e+02   2.967697e-06  -2.582899e-06 
  1.273355e+02   3.003626e-06  -2.572164e-06 
  1.273355e+02   3.003626e-06  -2.572164e-06 
  1.278355e+02   3.366433e-06  -2.463761e-06 
  1.278850e+02   3.402362e-06  -2.453026e-06 
  1.309291e+02   5.528973e-06  -1.761682e-06 
  1.309786e+02   5.564620e-06  -1.751052e-06 
  1.310896e+02   5.644472e-06  -1.727241e-06 
  1.311391e+02   5.680118e-06  -1.716612e-06 
  1.341832e+02   7.758816e-06  -1.044497e-06 
  1.342327e+02   7.794272e-06  -1.033976e-06 
  1.342327e+02   7.794272e-06  -1.033976e-06 
  1.345577e+02   8.026998e-06  -9.649195e-07 
  1.347077e+02   8.081871e-06  -9.392263e-07 
  1.347077e+02   8.081871e-06  -9.392263e-07 
  1.347077e+02   8.081871e-06  -9.392263e-07 
  1.347077e+02   8.081871e-06  -9.392263e-07 
  1.350327e+02   8.086665e-06  -8.968244e-07 
  1.350822e+02   8.087395e-06  -8.903643e-07 
  1.381263e+02   8.020215e-06  -4.838879e-07 
  1.381758e+02   8.021317e-06  -4.774683e-07 
  1.382867e+02   8.023786e-06  -4.630873e-07 
  1.383363e+02   8.024889e-06  -4.566677e-07 
  1.413804e+02   7.983327e-06  -5.908687e-08 
  1.414299e+02   7.984748e-06  -5.269760e-08 
  1.414299e+02   7.984748e-06  -5.269760e-08 
  1.419299e+02   7.999102e-06   1.182102e-08 
  1.419794e+02   8.000523e-06   1.821030e-08 
  1.450235e+02   7.980592e-06   4.073097e-07 
  1.450730e+02   7.982281e-06   4.136789e-07 
  1.451839e+02   7.986064e-06   4.279467e-07 
  1.452334e+02   7.987753e-06   4.343159e-07 
  1.482775e+02   7.986206e-06   8.167198e-07 
  1.483271e+02   7.988119e-06   8.230775e-07 
  1.483271e+02   7.988119e-06   8.230775e-07 
  1.486521e+02   8.000677e-06   8.648075e-07 
  1.488021e+02   8.058782e-06   8.782811e-07 
  1.488021e+02   8.058782e-06   8.782811e-07 
