Printout for SDDS file one.twi

       s            betay          alphay          etay          etayp     
       m              m                             m                      
---------------------------------------------------------------------------
  3.069718e+01   3.033857e+01  -7.453054e+00   5.212323e-06   2.633133e-05 
  3.084718e+01   3.362036e+01  -1.465270e+01   9.789069e-06   3.487676e-05 
  3.084718e+01   3.362036e+01  -1.465270e+01   9.789069e-06   3.487676e-05 
  3.084718e+01   3.362036e+01  -1.465270e+01   9.789069e-06   3.487676e-05 
  3.084718e+01   3.362036e+01  -1.465270e+01   9.789069e-06  -1.761242e-05 
  3.144718e+01   5.351330e+01  -1.850218e+01  -7.783839e-07  -1.761242e-05 
  3.159718e+01   5.574934e+01   3.902728e+00   6.323305e-07   3.650143e-05 
  3.409718e+01   3.805537e+01   3.174859e+00   9.188591e-05   3.650143e-05 
  3.409718e+01   3.805537e+01   3.174859e+00   9.188591e-05   3.650143e-05 
  3.459718e+01   3.495330e+01   3.029285e+00   1.101366e-04   3.650143e-05 
  3.459718e+01   3.495330e+01   3.029285e+00   1.101366e-04   3.650143e-05 
  3.459718e+01   3.495330e+01   3.029285e+00   1.101366e-04   3.650143e-05 
  3.459718e+01   3.495330e+01   3.029285e+00   1.101366e-04   1.859408e-05 
  3.474718e+01   3.520291e+01  -4.711698e+00   1.154625e-04   5.259467e-05 
  3.524718e+01   4.007936e+01  -5.041218e+00   1.417598e-04   5.259467e-05 
  3.539718e+01   4.113939e+01  -1.998748e+00   1.487677e-04   4.075309e-05 
  3.589718e+01   4.316850e+01  -2.059456e+00   1.691442e-04   4.075309e-05 
  3.604718e+01   4.322159e+01   1.707027e+00   1.746229e-04   3.220843e-05 
  3.604718e+01   4.322159e+01   1.707027e+00   1.746229e-04   3.220843e-05 
  3.604718e+01   4.322159e+01   1.707027e+00   1.746229e-04   3.220843e-05 
  3.604718e+01   4.322159e+01   1.707027e+00   1.746229e-04   3.220843e-05 
  3.604718e+01   4.322159e+01   1.707027e+00   1.746229e-04   2.524774e-05 
  3.637218e+01   4.212159e+01   1.677596e+00   1.828284e-04   2.524774e-05 
  3.642169e+01   4.195568e+01   1.673112e+00   1.840786e-04   2.524774e-05 
  3.946579e+01   3.214241e+01   1.526369e+00   2.325153e-04   2.188303e-05 
  3.951531e+01   3.199151e+01   1.521240e+00   2.335989e-04   2.188303e-05 
  3.962623e+01   3.165531e+01   1.509749e+00   2.360261e-04   2.188303e-05 
  3.967574e+01   3.150605e+01   1.504619e+00   2.371097e-04   2.188303e-05 
  4.271984e+01   2.308182e+01   1.250754e+00   2.765017e-04   1.937715e-05 
  4.276936e+01   2.295823e+01   1.245253e+00   2.774612e-04   1.937715e-05 
  4.276936e+01   2.295823e+01   1.245253e+00   2.774612e-04   1.937715e-05 
  4.326936e+01   2.174076e+01   1.189703e+00   2.871497e-04   1.937715e-05 
  4.331887e+01   2.162321e+01   1.184202e+00   2.881092e-04   1.937715e-05 
  4.636297e+01   1.533704e+01   8.749626e-01   3.206821e-04   1.741811e-05 
  4.641249e+01   1.525067e+01   8.692625e-01   3.215446e-04   1.741811e-05 
  4.652341e+01   1.505925e+01   8.564937e-01   3.234766e-04   1.741811e-05 
  4.657292e+01   1.497471e+01   8.507937e-01   3.243390e-04   1.741811e-05 
  4.961702e+01   1.080688e+01   5.155141e-01   3.524241e-04   1.585097e-05 
  4.966654e+01   1.075611e+01   5.097147e-01   3.532089e-04   1.585097e-05 
  4.966654e+01   1.075611e+01   5.097147e-01   3.532089e-04   1.585097e-05 
  4.966654e+01   1.075611e+01   5.097147e-01   3.532089e-04   1.585097e-05 
  4.999154e+01   1.043717e+01   4.716491e-01   3.583605e-04   1.585097e-05 
  5.014154e+01   1.043418e+01  -4.515991e-01   3.634047e-04   5.148216e-05 
  5.014154e+01   1.043418e+01  -4.515991e-01   3.634047e-04   5.148216e-05 
  5.014154e+01   1.043418e+01  -4.515991e-01   3.634047e-04   5.148216e-05 
  5.014154e+01   1.043418e+01  -4.515991e-01   3.634047e-04   4.749148e-05 
  5.046654e+01   1.073990e+01  -4.890991e-01   3.788394e-04   4.749148e-05 
  5.051605e+01   1.078862e+01  -4.948123e-01   3.811909e-04   4.749148e-05 
  5.356015e+01   1.482353e+01  -8.297151e-01   4.951102e-04   4.430751e-05 
  5.360967e+01   1.490597e+01  -8.353549e-01   4.973041e-04   4.430751e-05 
  5.372059e+01   1.509269e+01  -8.479889e-01   5.022187e-04   4.430751e-05 
  5.377010e+01   1.517694e+01  -8.536288e-01   5.044126e-04   4.430751e-05 
  5.681420e+01   2.137552e+01  -1.181337e+00   6.058790e-04   4.155412e-05 
  5.686372e+01   2.149278e+01  -1.186886e+00   6.079365e-04   4.155412e-05 
  5.686372e+01   2.149278e+01  -1.186886e+00   6.079365e-04   4.155412e-05 
  5.736372e+01   2.270768e+01  -1.242921e+00   6.287136e-04   4.155412e-05 
  5.741323e+01   2.283104e+01  -1.248470e+00   6.307711e-04   4.155412e-05 
  6.045733e+01   3.140494e+01  -1.566609e+00   7.214133e-04   3.913854e-05 
  6.050685e+01   3.156035e+01  -1.572055e+00   7.233513e-04   3.913854e-05 
  6.061777e+01   3.191045e+01  -1.584255e+00   7.276925e-04   3.913854e-05 
  6.066728e+01   3.206761e+01  -1.589701e+00   7.296305e-04   3.913854e-05 
  6.371138e+01   4.269023e+01  -1.898355e+00   8.120511e-04   3.701208e-05 
  6.376090e+01   4.287849e+01  -1.903695e+00   8.138837e-04   3.701208e-05 
  6.376090e+01   4.287849e+01  -1.903695e+00   8.138837e-04   3.701208e-05 
  6.408590e+01   4.412728e+01  -1.938743e+00   8.259127e-04   3.701208e-05 
  6.423590e+01   4.413169e+01   1.909479e+00   8.256588e-04  -4.038702e-05 
  6.423590e+01   4.413169e+01   1.909479e+00   8.256588e-04  -4.038702e-05 
  6.423590e+01   4.413169e+01   1.909479e+00   8.256588e-04  -4.038702e-05 
  6.423590e+01   4.413169e+01   1.909479e+00   8.256588e-04  -3.531708e-05 
  6.456090e+01   4.290165e+01   1.875264e+00   8.141808e-04  -3.531708e-05 
  6.461042e+01   4.271620e+01   1.870051e+00   8.124321e-04  -3.531708e-05 
  6.765452e+01   3.224855e+01   1.566272e+00   6.767738e-04  -3.430064e-05 
  6.770403e+01   3.209370e+01   1.560970e+00   6.750754e-04  -3.430064e-05 
  6.781495e+01   3.174873e+01   1.549092e+00   6.712707e-04  -3.430064e-05 
  6.786446e+01   3.159559e+01   1.543790e+00   6.695724e-04  -3.430064e-05 
  7.090856e+01   2.315304e+01   1.228060e+00   5.442556e-04  -3.330916e-05 
  7.095808e+01   2.303169e+01   1.222696e+00   5.426063e-04  -3.330916e-05 
  7.095808e+01   2.303169e+01   1.222696e+00   5.426063e-04  -3.330916e-05 
  7.145808e+01   2.183607e+01   1.168532e+00   5.259518e-04  -3.330916e-05 
  7.150759e+01   2.172062e+01   1.163168e+00   5.243025e-04  -3.330916e-05 
  7.455169e+01   1.562185e+01   8.393484e-01   4.083385e-04  -3.234837e-05 
  7.460121e+01   1.553899e+01   8.339458e-01   4.067368e-04  -3.234837e-05 
  7.471213e+01   1.535533e+01   8.218432e-01   4.031487e-04  -3.234837e-05 
  7.476164e+01   1.527421e+01   8.164406e-01   4.015470e-04  -3.234837e-05 
  7.780574e+01   1.130161e+01   4.880275e-01   2.933047e-04  -3.142906e-05 
  7.785526e+01   1.125355e+01   4.826028e-01   2.917485e-04  -3.142906e-05 
  7.785526e+01   1.125355e+01   4.826028e-01   2.917485e-04  -3.142906e-05 
  7.818026e+01   1.095143e+01   4.469968e-01   2.815340e-04  -3.142906e-05 
  7.833026e+01   1.096248e+01  -5.209817e-01   2.782853e-04  -1.194072e-05 
